,oscar_winning_movies
954,The Garden of Allah (1936 film)
955,Gaslight (1944 film)
956,Gate of Hell (film)
957,The Gay Divorcee
958,Gentleman's Agreement
959,Gerald McBoing-Boing
960,Giant (1956 film)
961,Gigi (1958 film)
962,Giuseppina
963,Give Me Liberty (1936 film)
964,Glass (1958 film)
965,The Glenn Miller Story
966,Going My Way
967,Gold Diggers of 1935
968,The Golden Fish (film)
969,Goldfinger (film)
970,Gone with the Wind (film)
971,The Good Earth (film)
972,"Goodbye, Miss Turlock"
973,"Goodbye, Mr. Chips (1939 film)"
974,Grand Canyon (1958 film)
975,Grand Hotel (1932 film)
976,Grandad of Races
977,The Grapes of Wrath (film)
978,The Great Caruso
979,Great Expectations (1946 film)
980,The Great Lie
981,The Great McGinty
982,The Great Waltz (1938 film)
983,The Great Ziegfeld
984,The Greatest Show on Earth (film)
985,Green Dolphin Street (film)
986,The Guns of Navarone (film)
987,Hamlet (1948 film)
988,Heureux Anniversaire
989,Harvey (1950 film)
990,The Harvey Girls
991,Heavenly Music
992,The Heiress
993,Helen Keller in Her Story
994,"Hello, Frisco, Hello"
995,Henry V (1944 film)
996,Here Comes Mr. Jordan
997,Here Comes the Groom
998,The High and the Mighty (film)
999,High Noon
1000,Hitler Lives
1001,A Hole in the Head
1002,The Hole (1962 film)
1003,Holiday Inn (film)
1004,The Horse with the Flying Tail
1005,The House I Live In (1945 film)
1006,The House on 92nd Street
1007,How Green Was My Valley (film)
1008,How the West Was Won (film)
1009,How to Sleep
1010,Hud (1963 film)
1011,The Human Comedy (film)
1012,The Hurricane (1937 film)
1013,The Hustler (film)
1014,I Want to Live!
1015,I Wanted Wings
1016,I Won't Play
1017,I'll Cry Tomorrow
1018,In Beaver Valley
1019,In Old Arizona
1020,In Old Chicago
1021,In Which We Serve
1022,The Informer (1935 film)
1023,Interrupted Melody
1024,49th Parallel (film)
1025,Irma la Douce
1026,It Happened One Night
1027,"It's a Mad, Mad, Mad, Mad World"
1028,The Jazz Singer
1029,Jezebel (1938 film)
1030,Joan of Arc (1948 film)
1031,Johann Mouse
1032,Johnny Belinda (1948 film)
1033,Johnny Eager
1034,The Joker Is Wild
1035,The Jolson Story
1036,Judgment at Nuremberg
1037,Julius Caesar (1953 film)
1038,Kentucky (film)
1039,Key Largo (film)
1040,The King and I (1956 film)
1041,King of Jazz
1042,King Solomon's Mines (1950 film)
1043,Kitty Foyle (film)
1044,Knighty Knight Bugs
1045,Kokoda Front Line!
1046,Kon-Tiki (1950 film)
1047,Krakatoa (film)
1048,Kukan
1049,La Strada
1050,La Dolce Vita
1051,Lady Be Good (1941 film)
1052,The Last Command (1928 film)
1053,Laura (1944 film)
1054,The Lavender Hill Mob
1055,Lawrence of Arabia (film)
1056,Leave Her to Heaven
1057,Lend a Paw
1058,Les Girls
1059,A Letter to Three Wives
1060,The Life of Emile Zola
1061,Light in the Window
1062,Lili
1063,Lilies of the Field (1963 film)
1064,The Kidnappers
1065,The Little Orphan
1066,Little Women (1933 film)
1067,Little Women (1949 film)
1068,The Lives of a Bengal Lancer (film)
1069,The Living Desert
1070,The Longest Day (film)
1071,Lost Horizon (1937 film)
1072,The Lost Weekend (film)
1073,Love Is a Many-Splendored Thing (film)
1074,Love Me or Leave Me (film)
1075,Lust for Life (1956 film)
1076,Magoo's Puddle Jumper
